flux,scheme,N,best_omp_threads,serial_total_ms,best_omp_total_ms,simd_total_ms,best_omp_speedup_pct,simd_speedup_pct
buckleyLeverett,lax_friedrichs,20,1,0.00166667,0.0533333,0.002,-3100.0,-20.0
buckleyLeverett,lax_friedrichs,1000,1,0.0363333,0.0943333,0.0393333,-159.633,-8.25688
buckleyLeverett,lax_friedrichs,10000,1,0.350667,0.854333,0.345667,-143.631,1.42586
buckleyLeverett,lax_friedrichs,100000,4,3.44467,4.49433,3.378,-30.4722,1.93536
buckleyLeverett,lax_friedrichs,500000,4,17.084,13.369,17.054,21.7455,0.175603
buckleyLeverett,lax_friedrichs,1000000,8,34.3843,22.9673,34.1553,33.2041,0.666001
buckleyLeverett,leapfrog,20,1,0.001,0.0116667,0.00166667,-1066.67,-66.6667
buckleyLeverett,leapfrog,1000,1,0.0303333,0.0926667,0.0306667,-205.495,-1.0989
buckleyLeverett,leapfrog,10000,1,0.287667,0.780667,0.299,-171.379,-3.93975
buckleyLeverett,leapfrog,100000,4,2.89933,4.60467,2.861,-58.8181,1.32214
buckleyLeverett,leapfrog,500000,4,14.7243,12.5663,14.2593,14.656,3.15804
buckleyLeverett,leapfrog,1000000,8,30.5443,21.588,28.4597,29.3224,6.82505
burgers,lax_friedrichs,20,1,0.001,0.011,0.001,-1000.0,0.0
burgers,lax_friedrichs,1000,1,0.014,0.0506667,0.006,-261.905,57.1429
burgers,lax_friedrichs,10000,1,0.126,0.445333,0.0633333,-253.439,49.7354
burgers,lax_friedrichs,100000,4,1.25867,3.109,0.573,-147.007,54.4756
burgers,lax_friedrichs,500000,4,6.383,8.379,2.77367,-31.2706,56.546
burgers,lax_friedrichs,1000000,4,13.261,14.2493,5.67667,-7.45293,57.1928
burgers,leapfrog,20,1,0.0,0.00866667,0.000333333,0.0,0.0
burgers,leapfrog,1000,1,0.0146667,0.0506667,0.00466667,-245.455,68.1818
burgers,leapfrog,10000,1,0.13,0.438,0.0546667,-236.923,57.9487
burgers,leapfrog,100000,4,1.29367,3.10467,0.508,-139.99,60.7318
burgers,leapfrog,500000,4,6.96433,8.51733,2.72,-22.2993,60.9439
burgers,leapfrog,1000000,8,14.345,14.133,5.91033,1.47787,58.7987
cubic,lax_friedrichs,20,1,0.001,0.0113333,0.00133333,-1033.33,-33.3333
cubic,lax_friedrichs,1000,1,0.0156667,0.065,0.007,-314.894,55.3191
cubic,lax_friedrichs,10000,1,0.124333,0.582,0.0653333,-368.097,47.4531
cubic,lax_friedrichs,100000,4,1.243,3.561,0.560667,-186.484,54.8941
cubic,lax_friedrichs,500000,4,6.57567,10.0503,2.96833,-52.8413,54.8588
cubic,lax_friedrichs,1000000,8,12.5263,16.7357,5.505,-33.6039,56.0526
